cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean
student,20,gender,gender,none,5,3000,0.020733333333333333,0.05,0.03331666666666667,0.1,5.048666666666667,10.0,0.020733333333333333,0.05,0.03331666666666667,0.1,2.4926666666666666,4.0,
student,20,gender,gender,suppress_k,5,3000,0.015933333333333334,0.05,0.029766666666666667,0.1,5.173,10.0,0.015933333333333334,0.05,0.029766666666666667,0.1,2.426,3.0,
student,20,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
student,20,gender+age_exact,gender|age_exact,none,5,3000,0.4377,0.65,0.9849166666666667,1.0,1.0,1.0,0.4377,0.65,0.9849166666666667,1.0,13.502,16.0,
student,20,gender+age_exact,gender|age_exact,age_bands,5,3000,0.047850000000000004,0.15,0.24956666666666663,0.5,1.5703333333333334,3.0,0.047850000000000004,0.15,0.24956666666666663,0.5,4.353,6.0,
student,20,gender+age_exact,gender|age_exact,suppress_k,5,3000,0.0,0.0,0.0,0.0,19.131666666666668,20.0,0.0,0.0,0.0,0.0,1.059,2.0,
student,20,gender+age_exact,gender|age_exact,analytic_uniform_heuristic,5,0,0.15059346955373415,,,,,,0.15059346955373415,,,,,,
student,20,gender+age_band+status,gender|age_band|student_status,none,5,3000,0.14379999999999998,0.25,0.40991666666666665,0.7,1.0496666666666667,1.0,0.14379999999999998,0.25,0.40991666666666665,0.7,6.579666666666666,9.0,
student,20,gender+age_band+status,gender|age_band|student_status,suppress_k,5,3000,8.333333333333333e-05,0.0,0.01855,0.2,5.977,9.0,8.333333333333333e-05,0.0,0.01855,0.2,2.704,3.0,
student,20,gender+age_band+status,gender|age_band|student_status,analytic_uniform_heuristic,5,0,0.27929589262158044,,,,,,0.27929589262158044,,,,,,
student,20,gender+age_exact+status,gender|age_exact|student_status,none,5,3000,0.5573333333333333,0.8,0.99315,1.0,1.0,1.0,0.5573333333333333,0.8,0.99315,1.0,15.002,18.0,0.061566666666666665
student,20,gender+age_exact+status,gender|age_exact|student_status,age_bands,5,3000,0.14493333333333333,0.3,0.4120666666666667,0.7,1.0403333333333333,1.0,0.14493333333333333,0.3,0.4120666666666667,0.7,6.597333333333333,9.0,
student,20,gender+age_exact+status,gender|age_exact|student_status,suppress_k,5,3000,0.0,0.0,0.0,0.0,19.610333333333333,20.0,0.0,0.0,0.0,0.0,1.0263333333333333,1.0,
student,20,gender+age_exact+status,gender|age_exact|student_status,analytic_uniform_heuristic,5,0,0.0562465360552488,,,,,,0.0562465360552488,,,,,,
student,20,gender+age_band+status+week,gender|age_band|student_status|completion_week,none,5,3000,0.4098833333333334,0.6,0.96275,1.0,1.0003333333333333,1.0,0.4098833333333334,0.6,0.96275,1.0,12.849666666666666,16.0,
student,20,gender+age_band+status+week,gender|age_band|student_status|completion_week,suppress_k,5,3000,0.0,0.0,0.0,0.0,17.951,20.0,0.0,0.0,0.0,0.0,1.1416666666666666,2.0,
student,20,gender+age_band+status+week,gender|age_band|student_status|completion_week,analytic_uniform_heuristic,5,0,0.09432773348529934,,,,,,0.09432773348529934,,,,,,
student,30,gender,gender,none,5,3000,0.018233333333333334,0.06666666666666667,0.029233333333333333,0.1,5.8693333333333335,15.0,0.018233333333333334,0.06666666666666667,0.029233333333333333,0.1,2.698,4.0,
student,30,gender,gender,suppress_k,5,3000,0.012699999999999998,0.03333333333333333,0.028611111111111115,0.1,6.022,15.0,0.012699999999999998,0.03333333333333333,0.028611111111111115,0.1,2.5926666666666667,3.0,
student,30,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
