cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean,linkage_p_success_p95
student,20,gender,gender,none,5,500,0.0206,0.05,0.0319,0.1,5.04,10.0,0.0206,0.05,0.0319,0.1,2.494,3.0,,
student,20,gender,gender,suppress_k,5,500,0.0165,0.05,0.029799999999999997,0.1,5.138,10.0,0.0165,0.05,0.029799999999999997,0.1,2.438,3.0,,
student,20,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
student,20,gender+age_exact,gender|age_exact,none,5,500,0.4345,0.65,0.9855,1.0,1.0,1.0,0.4345,0.65,0.9855,1.0,13.472,16.0,,
student,20,gender+age_exact,gender|age_exact,age_bands,5,500,0.048900000000000006,0.1,0.24719999999999998,0.45,1.584,4.0,0.048900000000000006,0.1,0.24719999999999998,0.45,4.35,6.0,,
student,20,gender+age_exact,gender|age_exact,suppress_k,5,500,0.0,0.0,0.0,0.0,19.21,20.0,0.0,0.0,0.0,0.0,1.054,2.0,,
student,20,gender+age_exact,gender|age_exact,analytic_uniform_heuristic,5,0,0.15059346955373415,,,,,,0.15059346955373415,,,,,,,
student,20,gender+age_band+status,gender|age_band|student_status,none,5,500,0.1408,0.2524999999999977,0.40930000000000005,0.7,1.058,1.0499999999999545,0.1408,0.2524999999999977,0.40930000000000005,0.7,6.548,9.0,,
student,20,gender+age_band+status,gender|age_band|student_status,suppress_k,5,500,0.0001,0.0,0.019700000000000002,0.2,6.05,9.0,0.0001,0.0,0.019700000000000002,0.2,2.694,3.0,,
student,20,gender+age_band+status,gender|age_band|student_status,analytic_uniform_heuristic,5,0,0.27929589262158044,,,,,,0.27929589262158044,,,,,,,
student,20,gender+age_exact+status,gender|age_exact|student_status,none,5,500,0.5593999999999999,0.8,0.9912,1.0,1.0,1.0,0.5593999999999999,0.8,0.9912,1.0,15.032,18.0,,
student,20,gender+age_exact+status,gender|age_exact|student_status,age_bands,5,500,0.141,0.25,0.407,0.7,1.044,1.0,0.141,0.25,0.407,0.7,6.532,9.0,,
student,20,gender+age_exact+status,gender|age_exact|student_status,suppress_k,5,500,0.0,0.0,0.0,0.0,19.496,20.0,0.0,0.0,0.0,0.0,1.034,1.0,,
student,20,gender+age_exact+status,gender|age_exact|student_status,analytic_uniform_heuristic,5,0,0.0562465360552488,,,,,,0.0562465360552488,,,,,,,
student,20,gender+age_band+status+week,gender|age_band|student_status|completion_week,none,5,500,0.4133,0.65,0.966,1.0,1.0,1.0,0.4133,0.65,0.966,1.0,12.906,16.0,,
student,20,gender+age_band+status+week,gender|age_band|student_status|completion_week,suppress_k,5,500,0.0,0.0,0.0,0.0,18.138,20.0,0.0,0.0,0.0,0.0,1.13,2.0,,
student,20,gender+age_band+status+week,gender|age_band|student_status|completion_week,analytic_uniform_heuristic,5,0,0.09432773348529934,,,,,,0.09432773348529934,,,,,,,
student,30,gender,gender,none,5,500,0.0198,0.06666666666666667,0.031466666666666664,0.1,5.584,15.0,0.0198,0.06666666666666667,0.031466666666666664,0.1,2.756,4.0,,
student,30,gender,gender,suppress_k,5,500,0.012866666666666667,0.03333333333333333,0.030799999999999998,0.1,5.756,15.0,0.012866666666666667,0.03333333333333333,0.030799999999999998,0.1,2.63,3.0,,
student,30,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
student,30,gender+age_exact,gender|age_exact,none,5,500,0.2972,0.43333333333333335,0.9490666666666667,1.0,1.0,1.0,0.2972,0.43333333333333335,0.9490666666666667,1.0,17.03,20.0,,
student,30,gender+age_exact,gender|age_exact,age_bands,5,500,0.03073333333333333,0.06666666666666667,0.15760000000000002,0.3,1.686,4.0,0.03073333333333333,0.06666666666666667,0.15760000000000002,0.3,4.736,6.0,,
student,30,gender+age_exact,gender|age_exact,suppress_k,5,500,0.0,0.0,0.0,0.0,23.62,30.0,0.0,0.0,0.0,0.0,1.288,2.0,,
student,30,gender+age_exact,gender|age_exact,analytic_uniform_heuristic,5,0,0.20651279254425295,,,,,,0.20651279254425295,,,,,,,
student,30,gender+age_band+status,gender|age_band|student_status,none,5,500,0.10906666666666666,0.2,0.31139999999999995,0.4666666666666667,1.046,1.0,0.10906666666666666,0.2,0.31139999999999995,0.4666666666666667,7.814,10.0,,
student,30,gender+age_band+status,gender|age_band|student_status,suppress_k,5,500,6.666666666666667e-05,0.0,0.0054666666666666665,0.0,6.902,9.0,6.666666666666667e-05,0.0,0.0054666666666666665,0.0,3.27,4.0,,
student,30,gender+age_band+status,gender|age_band|student_status,analytic_uniform_heuristic,5,0,0.33940795230274856,,,,,,0.33940795230274856,,,,,,,
student,30,gender+age_exact+status,gender|age_exact|student_status,none,5,500,0.42979999999999996,0.6,0.9683333333333333,1.0,1.0,1.0,0.42979999999999996,0.6,0.9683333333333333,1.0,19.718,23.0,,
student,30,gender+age_exact+status,gender|age_exact|student_status,age_bands,5,500,0.1064,0.2,0.3113333333333333,0.4666666666666667,1.06,1.0,0.1064,0.2,0.3113333333333333,0.4666666666666667,7.732,10.0,,
student,30,gender+age_exact+status,gender|age_exact|student_status,suppress_k,5,500,0.0,0.0,0.0,0.0,25.696,30.0,0.0,0.0,0.0,0.0,1.18,2.0,,
student,30,gender+age_exact+status,gender|age_exact|student_status,analytic_uniform_heuristic,5,0,0.08189216203861269,,,,,,0.08189216203861269,,,,,,,
student,30,gender+age_band+status+week,gender|age_band|student_status|completion_week,none,5,500,0.2978666666666666,0.4349999999999985,0.8692000000000001,1.0,1.0,1.0,0.2978666666666666,0.4349999999999985,0.8692000000000001,1.0,16.15,20.0,,
student,30,gender+age_band+status+week,gender|age_band|student_status|completion_week,suppress_k,5,500,0.0,0.0,0.0,0.0,15.556,30.0,0.0,0.0,0.0,0.0,1.714,3.0,,
student,30,gender+age_band+status+week,gender|age_band|student_status|completion_week,analytic_uniform_heuristic,5,0,0.13429258813836892,,,,,,0.13429258813836892,,,,,,,
student,50,gender,gender,none,5,500,0.014320000000000001,0.04,0.031,0.08,5.338,24.0,0.014320000000000001,0.04,0.031,0.08,3.084,4.0,,
